 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 1,2300,+44,65.000000 
 1,2300,+45,65.000000 
 1,2300,+46,65.000000 
 1,2300,+47,65.000000 
 1,2300,+48,65.000000 
 1,2300,+49,55.000000 
 1,2300,+50,45.000000 
 1,2300,+51,40.000000 
 1,2300,+52,40.000000 
 1,2300,+53,35.000000 
 1,2300,+54,35.000000 
 1,2300,+55,35.000000 
 1,2300,+56,40.000000 
 1,2300,+57,40.000000 
 1,2300,+58,50.000000 
 1,2300,+59,50.000000 
 1,2300,+60,55.000000 
 1,2300,+61,55.000000 
 1,2300,+62,60.000000 
 1,2300,+63,60.000000 
 1,2300,+64,60.000000 
 1,2300,+67,65.000000 
 1,2300,+70,70.000000 
 1,2300,+73,60.000000 
 1,2300,+76,45.000000 
 1,2300,+79,45.000000 
 1,2300,+82,65.000000 
 1,2300,+85,75.000000 
 1,2300,+88,80.000000 
 Start : 20250102 
 2,0200,+6,20.000000 
 2,0200,+7,25.000000 
 2,0200,+8,30.000000 
 2,0200,+9,35.000000 
 2,0200,+10,30.000000 
 2,0200,+11,35.000000 
 2,0200,+12,35.000000 
 2,0200,+13,35.000000 
 2,0200,+14,35.000000 
 2,0200,+15,30.000000 
 2,0200,+16,35.000000 
 2,0200,+17,35.000000 
 2,0200,+18,35.000000 
 2,0200,+19,40.000000 
 2,0200,+20,40.000000 
 2,0200,+21,40.000000 
 2,0200,+22,40.000000 
 2,0200,+23,30.000000 
 2,0200,+24,25.000000 
 2,0200,+25,20.000000 
 2,0200,+26,15.000000 
 2,0200,+27,20.000000 
 2,0200,+28,20.000000 
 2,0200,+29,20.000000 
 2,0200,+30,25.000000 
 2,0200,+31,30.000000 
 2,0200,+32,35.000000 
 2,0200,+33,40.000000 
 2,0200,+34,40.000000 
 2,0200,+35,45.000000 
 2,0200,+36,45.000000 
 2,0200,+37,50.000000 
 2,0200,+38,50.000000 
 2,0200,+39,60.000000 
 2,0200,+40,60.000000 
 2,0200,+41,65.000000 
 2,0200,+42,65.000000 
 2,0200,+43,65.000000 
 2,0200,+44,65.000000 
 2,0200,+45,65.000000 
 2,0200,+46,55.000000 
 2,0200,+47,45.000000 
 2,0200,+48,40.000000 
 2,0200,+49,40.000000 
 2,0200,+50,35.000000 
 2,0200,+51,35.000000 
 2,0200,+52,35.000000 
 2,0200,+53,40.000000 
 2,0200,+54,40.000000 
 2,0200,+55,50.000000 
 2,0200,+56,50.000000 
 2,0200,+57,55.000000 
 2,0200,+58,55.000000 
 2,0200,+59,60.000000 
 2,0200,+60,60.000000 
 2,0200,+61,60.000000 
 2,0200,+64,65.000000 
 2,0200,+67,70.000000 
 2,0200,+70,60.000000 
 2,0200,+73,45.000000 
 2,0200,+76,45.000000 
 2,0200,+79,65.000000 
 2,0200,+82,75.000000 
 2,0200,+85,80.000000 
 2,0500,+6,35.000000 
 2,0500,+7,30.000000 
 2,0500,+8,35.000000 
 2,0500,+9,35.000000 
 2,0500,+10,35.000000 
 2,0500,+11,35.000000 
 2,0500,+12,30.000000 
 2,0500,+13,35.000000 
 2,0500,+14,35.000000 
 2,0500,+15,35.000000 
 2,0500,+16,40.000000 
 2,0500,+17,40.000000 
 2,0500,+18,40.000000 
 2,0500,+19,40.000000 
 2,0500,+20,30.000000 
