 format: day,hour,forecast,value  location:98_79 Start : 20250101 
 2,0500,+67,1.000000 
 2,0500,+70,8.000000 
 2,0500,+73,10.000000 
 2,0500,+76,5.000000 
 2,0500,+79,4.000000 
 2,0500,+82,3.000000 
 2,0800,+6,1.000000 
 2,0800,+7,1.000000 
 2,0800,+8,0.000000 
 2,0800,+9,0.000000 
 2,0800,+10,0.000000 
 2,0800,+11,0.000000 
 2,0800,+12,0.000000 
 2,0800,+13,-1.000000 
 2,0800,+14,-1.000000 
 2,0800,+15,-1.000000 
 2,0800,+16,0.000000 
 2,0800,+17,2.000000 
 2,0800,+18,4.000000 
 2,0800,+19,5.000000 
 2,0800,+20,6.000000 
 2,0800,+21,6.000000 
 2,0800,+22,6.000000 
 2,0800,+23,5.000000 
 2,0800,+24,4.000000 
 2,0800,+25,2.000000 
 2,0800,+26,0.000000 
 2,0800,+27,-1.000000 
 2,0800,+28,-1.000000 
 2,0800,+29,-2.000000 
 2,0800,+30,-2.000000 
 2,0800,+31,-2.000000 
 2,0800,+32,-2.000000 
 2,0800,+33,-3.000000 
 2,0800,+34,-3.000000 
 2,0800,+35,-3.000000 
 2,0800,+36,-4.000000 
 2,0800,+37,-4.000000 
 2,0800,+38,-4.000000 
 2,0800,+39,-4.000000 
 2,0800,+40,-1.000000 
 2,0800,+41,3.000000 
 2,0800,+42,5.000000 
 2,0800,+43,6.000000 
 2,0800,+44,7.000000 
 2,0800,+45,8.000000 
 2,0800,+46,8.000000 
 2,0800,+47,8.000000 
 2,0800,+48,6.000000 
 2,0800,+49,3.000000 
 2,0800,+50,1.000000 
 2,0800,+51,0.000000 
 2,0800,+52,-1.000000 
 2,0800,+53,-2.000000 
 2,0800,+54,-3.000000 
 2,0800,+55,-3.000000 
 2,0800,+56,-3.000000 
 2,0800,+57,-3.000000 
 2,0800,+58,-4.000000 
 2,0800,+59,-4.000000 
 2,0800,+60,-3.000000 
 2,0800,+61,-3.000000 
 2,0800,+62,-3.000000 
 2,0800,+63,-2.000000 
 2,0800,+64,0.000000 
 2,0800,+65,4.000000 
 2,0800,+66,7.000000 
 2,0800,+67,8.000000 
 2,0800,+68,8.000000 
 2,0800,+69,8.000000 
 2,0800,+70,8.000000 
 2,0800,+71,7.000000 
 2,0800,+72,6.000000 
 2,0800,+73,5.000000 
 2,0800,+74,4.000000 
 2,0800,+75,3.000000 
 2,0800,+76,3.000000 
 2,0800,+77,3.000000 
 2,0800,+78,3.000000 
 2,0800,+79,2.000000 
 2,0800,+82,2.000000 
 2,0800,+85,1.000000 
 2,0800,+88,3.000000 
 2,0800,+91,10.000000 
 2,0800,+94,12.000000 
 2,0800,+97,5.000000 
 2,0800,+100,2.000000 
 2,0800,+103,0.000000 
 2,1100,+6,0.000000 
 2,1100,+7,0.000000 
 2,1100,+8,0.000000 
 2,1100,+9,0.000000 
 2,1100,+10,-1.000000 
 2,1100,+11,-1.000000 
 2,1100,+12,-1.000000 
 2,1100,+13,0.000000 
 2,1100,+14,2.000000 
 2,1100,+15,4.000000 
 2,1100,+16,5.000000 
 2,1100,+17,6.000000 
 2,1100,+18,6.000000 
 2,1100,+19,6.000000 
 2,1100,+20,5.000000 
 2,1100,+21,4.000000 
 2,1100,+22,2.000000 
 2,1100,+23,0.000000 
 2,1100,+24,-1.000000 
 2,1100,+25,-1.000000 
 2,1100,+26,-2.000000 
 2,1100,+27,-2.000000 
 2,1100,+28,-2.000000 
 2,1100,+29,-2.000000 
 2,1100,+30,-3.000000 
 2,1100,+31,-3.000000 
 2,1100,+32,-3.000000 
 2,1100,+33,-4.000000 
 2,1100,+34,-4.000000 
 2,1100,+35,-4.000000 
 2,1100,+36,-4.000000 
 2,1100,+37,-1.000000 
 2,1100,+38,3.000000 
 2,1100,+39,5.000000 
 2,1100,+40,6.000000 
 2,1100,+41,7.000000 
 2,1100,+42,8.000000 
 2,1100,+43,8.000000 
 2,1100,+44,8.000000 
 2,1100,+45,6.000000 
 2,1100,+46,3.000000 
 2,1100,+47,1.000000 
 2,1100,+48,0.000000 
 2,1100,+49,-1.000000 
 2,1100,+50,-2.000000 
 2,1100,+51,-3.000000 
 2,1100,+52,-3.000000 
 2,1100,+53,-3.000000 
 2,1100,+54,-3.000000 
 2,1100,+55,-4.000000 
 2,1100,+56,-4.000000 
 2,1100,+57,-3.000000 
 2,1100,+58,-3.000000 
 2,1100,+59,-3.000000 
 2,1100,+60,-2.000000 
 2,1100,+61,0.000000 
 2,1100,+62,4.000000 
 2,1100,+63,7.000000 
 2,1100,+64,8.000000 
 2,1100,+65,8.000000 
 2,1100,+66,8.000000 
 2,1100,+67,8.000000 
 2,1100,+68,7.000000 
 2,1100,+69,6.000000 
 2,1100,+70,5.000000 
 2,1100,+71,4.000000 
 2,1100,+72,3.000000 
 2,1100,+73,3.000000 
